RegionID,size,city,state,zhvi,score
51405,95,Chula Vista,CA,556295.0,-0.9021411551527916
54288,152,Salinas,CA,559062.0,-0.9092993033826169
51861,325,El Monte,CA,559299.0,-0.9099107673549998
10221,10,Austin,TX,565058.0,-0.9246899760939722
26967,123,Santa Rosa,CA,576519.0,-0.9536591712177654
47568,63,Santa Ana,CA,578133.0,-0.9576924406574993
24832,163,Garden Grove,CA,582944.0,-0.9696483153577875
13150,124,Oxnard,CA,583231.0,-0.9703584205908692
30258,119,Arlington,VA,585280.0,-0.9754179966985553
53636,359,Norwalk,CA,586914.0,-0.9794401384664092
17882,293,East Los Angeles,CA,590250.0,-0.9876171529532061
38992,405,Highlands Ranch,CO,590563.0,-0.9883819879581972
25320,90,Jersey City,NJ,593311.0,-0.9950795471453929
30543,264,Boulder,CO,602738.0,-1.0178220397840345
40737,475,San Marcos,CA,604066.0,-1.020997202921789
5924,464,Miami Beach,FL,606131.0,-1.0259206462137407
14634,217,Whittier,CA,613305.0,-1.04289572917005
41517,310,Vista,CA,617702.0,-1.0532020183666042
33334,500,Parker,CO,621141.0,-1.0612118162021873
4406,329,Downey,CA,622995.0,-1.065511601090217
16764,62,Anaheim,CA,624822.0,-1.069736268206009
41568,27,Washington,DC,631174.0,-1.0843287940248834
18615,48,Honolulu,HI,632933.0,-1.0883438057522286
50962,324,Bend,OR,646648.0,-1.1192716176715227
34543,331,Ventura,CA,647318.0,-1.1207656380148383
33252,248,Orange,CA,653108.0,-1.1336125966033086
24812,246,Fullerton,CA,659650.0,-1.1479917724883564
45888,252,Inglewood,CA,662547.0,-1.1543138171180618
34780,453,Westminster,CA,662771.0,-1.1548014943279634
46298,43,Long Beach,CA,663993.0,-1.157459048856852
26751,312,Richmond,CA,680587.0,-1.1930706109190892
3619,251,Bellevue,WA,694616.0,-1.2225066590862672
18518,155,Hayward,CA,705353.0,-1.2446364639306449
12773,410,Mission Viejo,CA,711319.0,-1.2567877162974779
54296,8,San Diego,CA,718477.0,-1.2712329901379915
44269,26,Boston,MA,726457.0,-1.287168421759033
6112,404,Napa,CA,742658.0,-1.3189890074861996
25218,146,Huntington Beach,CA,746851.0,-1.3271114643296689
40013,486,Newton,MA,748497.0,-1.330287550426539
6181,0,New York,NY,752941.0,-1.338827837117259
11540,115,Fremont,CA,766843.0,-1.3652222535411156
16037,24,Seattle,WA,786910.0,-1.4024896586125652
54722,244,Torrance,CA,788058.0,-1.4045928304868591
13698,374,San Leandro,CA,792205.0,-1.4121648233369237
12447,1,Los Angeles,CA,794987.0,-1.4172222854637324
42150,426,Hawthorne,CA,798133.0,-1.4229201920851857
3975,345,Carlsbad,CA,798414.0,-1.4234280347113983
32540,414,Livermore,CA,800674.0,-1.4275059753416601
38032,322,Costa Mesa,CA,801254.0,-1.4285506704344224
52650,106,Irvine,CA,806461.0,-1.4378957836470416
13072,45,Oakland,CA,820376.0,-1.4625763030666303
45457,140,Glendale,CA,847744.0,-1.5099196849556829
47019,234,Pasadena,CA,858545.0,-1.5281847705000347
3934,349,Cambridge,MA,877362.0,-1.5594632387001048
33839,11,San Jose,CA,893119.0,-1.585143430672113
396054,376,Burbank,CA,936253.0,-1.6531894528511186
13713,296,Santa Clara,CA,1045409.0,-1.812286596114175
31163,398,Daly City,CA,1110665.0,-1.899642846458806
13715,391,Santa Cruz,CA,1174816.0,-1.9806539305817554
54626,219,Sunnyvale,CA,1261584.0,-2.0834553798085698
13712,347,Santa Barbara,CA,1291263.0,-2.1170019851167696
16992,304,Berkeley,CA,1336685.0,-2.1668786347978335
13699,385,San Mateo,CA,1367258.0,-2.1995046149012456
26964,449,Santa Monica,CA,1424302.0,-2.2584741900703094
20330,14,San Francisco,CA,1479926.0,-2.313744150685402
20128,491,Redwood City,CA,1491454.0,-2.324938593588585
